PERMNO,date,COMNAM,PRC,VOL,RET,sprtrn,vwretd
92102,20140909,COMSCORE INC,38.6,136261,-0.008477,-0.006545,-0.006319
92102,20140910,COMSCORE INC,38.33,182046,-0.006995,0.003646,0.003342
92102,20140911,COMSCORE INC,38.78,158601,0.01174,0.000882,0.001308
92102,20140912,COMSCORE INC,39.34,214401,0.01444,-0.005963,-0.006591
92102,20140915,COMSCORE INC,38.48,151480,-0.021861,-0.00071,-0.002889
92102,20140916,COMSCORE INC,38.71,156535,0.005977,0.007484,0.007021
92102,20140917,COMSCORE INC,38.61,116978,-0.002583,0.001296,0.000798
92102,20140918,COMSCORE INC,38.92,86471,0.008029,0.004891,0.004519
92102,20140919,COMSCORE INC,38.37,477328,-0.014132,-0.000477,-0.002369
92102,20140922,COMSCORE INC,37.7,114869,-0.017462,-0.008013,-0.010086
92102,20140923,COMSCORE INC,37.24,220197,-0.012202,-0.005776,-0.005998
92102,20140924,COMSCORE INC,37.76,145462,0.013963,0.007832,0.007102
92102,20140925,COMSCORE INC,37.13,224361,-0.016684,-0.016169,-0.015559
92102,20140926,COMSCORE INC,37.46,86517,0.008888,0.008576,0.008414
92102,20140929,COMSCORE INC,37.21,137494,-0.006674,-0.002547,-0.002425
92102,20140930,COMSCORE INC,36.41,268116,-0.0215,-0.002786,-0.004093
92102,20141001,COMSCORE INC,35.73,221439,-0.018676,-0.013249,-0.012943
92102,20141002,COMSCORE INC,36.52,204877,0.02211,0.000005,0.000776
92102,20141003,COMSCORE INC,36.6,98320,0.002191,0.011166,0.009102
92102,20141006,COMSCORE INC,36.56,120822,-0.001093,-0.001565,-0.001585
92102,20141007,COMSCORE INC,35.66,98428,-0.024617,-0.015126,-0.015002
92102,20141008,COMSCORE INC,37.12,227698,0.040942,0.017462,0.015864
92102,20141009,COMSCORE INC,35.86,210407,-0.033944,-0.020661,-0.021234
92102,20141010,COMSCORE INC,36,267420,0.003904,-0.011451,-0.013344
92102,20141013,COMSCORE INC,35.97,341768,-0.000833,-0.016468,-0.015516
92102,20141014,COMSCORE INC,36.99,361190,0.028357,0.001579,0.002321
92102,20141015,COMSCORE INC,37.48,263240,0.013247,-0.0081,-0.004488
92102,20141016,COMSCORE INC,36.96,172457,-0.013874,0.000145,0.00384
92102,20141017,COMSCORE INC,36.97,139760,0.000271,0.012884,0.010822
92102,20141020,COMSCORE INC,37.65,144503,0.018393,0.009143,0.009251
92102,20141021,COMSCORE INC,38.1,193136,0.011952,0.019574,0.019246
92102,20141022,COMSCORE INC,37.08,202938,-0.026772,-0.007299,-0.008884
92102,20141023,COMSCORE INC,37.84,211385,0.020496,0.012303,0.012282
92102,20141024,COMSCORE INC,38.22,109287,0.010042,0.007053,0.006017
92102,20141027,COMSCORE INC,39.38,429879,0.030351,-0.001502,-0.002173
92102,20141028,COMSCORE INC,38.75,635503,-0.015998,0.011939,0.013753
92102,20141029,COMSCORE INC,40.44,599142,0.043613,-0.001385,-0.002247
92102,20141030,COMSCORE INC,41.75,332542,0.032394,0.00623,0.00499
92102,20141031,COMSCORE INC,42.14,329089,0.009341,0.011731,0.011537
92102,20141103,COMSCORE INC,41.75,180239,-0.009255,-0.000119,-0.000685
92102,20141104,COMSCORE INC,42.1,163739,0.008383,-0.00283,-0.004632
92102,20141105,COMSCORE INC,42.84,340546,0.017577,0.005701,0.004893
92102,20141106,COMSCORE INC,42.98,123848,0.003268,0.003776,0.00382
92102,20141107,COMSCORE INC,42.92,157669,-0.001396,0.00035,0.001997
92102,20141110,COMSCORE INC,43.27,267436,0.008155,0.00312,0.002726
92102,20141111,COMSCORE INC,43.23,129933,-0.000924,0.000697,0.00112
92102,20141112,COMSCORE INC,43.46,181170,0.00532,-0.000701,0.000555
92102,20141113,COMSCORE INC,42.92,203918,-0.012425,0.00053,-0.000945
92102,20141114,COMSCORE INC,43.1,161036,0.004194,0.00024,0.001336
92102,20141117,COMSCORE INC,43.55,246858,0.010441,0.000735,-0.000224
92102,20141118,COMSCORE INC,44.16,283398,0.014007,0.005134,0.005505
92102,20141119,COMSCORE INC,42.97,322470,-0.026947,-0.001501,-0.002373
92102,20141120,COMSCORE INC,43.14,157272,0.003956,0.001967,0.003304
92102,20141121,COMSCORE INC,42.49,153111,-0.015067,0.005237,0.005332
92102,20141124,COMSCORE INC,43.4,174316,0.021417,0.002864,0.003185
92102,20141125,COMSCORE INC,43.55,176514,0.003456,-0.00115,-0.000386
92102,20141126,COMSCORE INC,44.41,156511,0.019747,0.002806,0.002778
92102,20141128,COMSCORE INC,43.97,87826,-0.009908,-0.002542,-0.006102
92102,20141201,COMSCORE INC,43.17,179181,-0.018194,-0.006829,-0.008994
92102,20141202,COMSCORE INC,45.15,716187,0.045865,0.006384,0.005873
92102,20141203,COMSCORE INC,44.93,168704,-0.004873,0.003765,0.005236
92102,20141204,COMSCORE INC,44.51,252603,-0.009348,-0.001162,-0.002154
92102,20141205,COMSCORE INC,43.7,307547,-0.018198,0.001665,0.001466
92102,20141208,COMSCORE INC,43.63,391308,-0.001602,-0.007257,-0.009486
92102,20141209,COMSCORE INC,44.74,276208,0.025441,-0.000238,0.001715
92102,20141210,COMSCORE INC,44,330896,-0.01654,-0.016351,-0.017454
92102,20141211,COMSCORE INC,44.46,176983,0.010455,0.004536,0.004081
92102,20141212,COMSCORE INC,44.13,176070,-0.007422,-0.016214,-0.015249
92102,20141215,COMSCORE INC,44.18,244519,0.001133,-0.006343,-0.007675
92102,20141216,COMSCORE INC,43.5,176730,-0.015392,-0.008489,-0.005849
92102,20141217,COMSCORE INC,44.96,353459,0.033563,0.020352,0.021808
92102,20141218,COMSCORE INC,46.28,270563,0.029359,0.024015,0.021565
92102,20141219,COMSCORE INC,47.14,506681,0.018583,0.00457,0.004615
92102,20141222,COMSCORE INC,46.98,218221,-0.003394,0.00381,0.003245
92102,20141223,COMSCORE INC,47.04,123639,0.001277,0.001746,0.002202
92102,20141224,COMSCORE INC,47.6,75449,0.011905,-0.000139,0.000579
