Time,num_of_tweets,num_of_positive,pct,num_of_negative
20150929,106,20,0.18867924528301888,86
20150930,116,34,0.29310344827586204,82
20151001,56,31,0.5535714285714286,25
20151002,70,49,0.7,21
20151003,4,2,0.5,2
20151004,5,5,1.0,0
20151005,19,3,0.15789473684210525,16
20151006,8,0,0.0,8
20151007,3,3,1.0,0
20151008,14,0,0.0,14
20151009,15,12,0.8,3
20151010,7,3,0.42857142857142855,4
20151011,6,3,0.5,3
20151012,8,3,0.375,5
20151013,3,2,0.6666666666666666,1
20151014,2,1,0.5,1
20151016,1,0,0.0,1
20151019,1,1,1.0,0
20151020,4,3,0.75,1
20151021,10,5,0.5,5
20151022,7,5,0.7142857142857143,2
20151023,3,1,0.3333333333333333,2
20151030,1,1,1.0,0
20151102,1,1,1.0,0
20151123,1,0,0.0,1
20151124,16,2,0.125,14
20151125,2,0,0.0,2
20151127,2,0,0.0,2
20151130,4,0,0.0,4
20151202,1,0,0.0,1
20151223,14,9,0.6428571428571429,5
20151224,10,9,0.9,1
20151225,7,7,1.0,0
20151228,3,2,0.6666666666666666,1
20151230,5,5,1.0,0
20151231,1,0,0.0,1
20160104,5,1,0.2,4
20160106,1,0,0.0,1
20160116,1,1,1.0,0
20160119,1,1,1.0,0
20160126,3,0,0.0,3
20160128,24,5,0.20833333333333334,19
20160129,41,15,0.36585365853658536,26
