Time,num_of_tweets,num_of_positive,pct,num_of_negative
20150928,231,65,0.2813852813852814,166
20150929,874,199,0.22768878718535468,675
20150930,1416,389,0.2747175141242938,1027
20151001,817,540,0.6609547123623011,277
20151002,392,221,0.5637755102040817,171
20151003,73,25,0.3424657534246575,48
20151004,60,25,0.4166666666666667,35
20151005,233,141,0.6051502145922747,92
20151006,336,237,0.7053571428571429,99
20151007,222,155,0.6981981981981982,67
20151008,293,132,0.45051194539249145,161
20151009,131,75,0.5725190839694656,56
20151010,54,28,0.5185185185185185,26
20151011,36,15,0.4166666666666667,21
20151012,68,26,0.38235294117647056,42
20151013,77,33,0.42857142857142855,44
20151014,60,30,0.5,30
20151015,190,60,0.3157894736842105,130
20151016,94,39,0.4148936170212766,55
20151017,154,125,0.8116883116883117,29
20151018,26,12,0.46153846153846156,14
20151019,588,32,0.05442176870748299,556
20151020,197,29,0.14720812182741116,168
20151021,84,42,0.5,42
20151022,69,29,0.42028985507246375,40
20151023,43,15,0.3488372093023256,28
20151024,39,13,0.3333333333333333,26
20151025,17,9,0.5294117647058824,8
20151026,49,9,0.1836734693877551,40
20151027,54,20,0.37037037037037035,34
20151028,55,26,0.4727272727272727,29
20151029,114,30,0.2631578947368421,84
20151030,55,14,0.2545454545454545,41
20151031,14,5,0.35714285714285715,9
20151101,26,4,0.15384615384615385,22
20151102,62,19,0.3064516129032258,43
20151103,72,31,0.4305555555555556,41
20151104,70,24,0.34285714285714286,46
20151105,788,76,0.09644670050761421,712
20151106,741,479,0.6464237516869096,262
20151107,157,89,0.5668789808917197,68
20151108,51,19,0.37254901960784315,32
20151109,281,54,0.19217081850533807,227
20151110,179,28,0.1564245810055866,151
20151111,205,110,0.5365853658536586,95
20151112,91,26,0.2857142857142857,65
20151113,202,85,0.4207920792079208,117
20151114,37,13,0.35135135135135137,24
20151115,25,8,0.32,17
20151116,47,15,0.3191489361702128,32
20151117,60,21,0.35,39
20151118,45,18,0.4,27
20151119,53,33,0.6226415094339622,20
20151120,39,19,0.48717948717948717,20
20151121,36,6,0.16666666666666666,30
20151122,37,8,0.21621621621621623,29
20151123,59,29,0.4915254237288136,30
20151124,73,17,0.2328767123287671,56
20151125,141,36,0.2553191489361702,105
20151126,84,40,0.47619047619047616,44
20151127,65,31,0.47692307692307695,34
20151128,14,7,0.5,7
20151129,32,10,0.3125,22
20151130,98,35,0.35714285714285715,63
20151201,33,16,0.48484848484848486,17
20151202,57,16,0.2807017543859649,41
20151203,98,39,0.3979591836734694,59
20151204,75,27,0.36,48
20151205,32,10,0.3125,22
20151206,20,5,0.25,15
20151207,282,230,0.8156028368794326,52
20151208,115,58,0.5043478260869565,57
20151209,96,42,0.4375,54
20151210,74,31,0.4189189189189189,43
20151211,54,18,0.3333333333333333,36
20151212,28,7,0.25,21
20151213,27,12,0.4444444444444444,15
20151214,69,32,0.463768115942029,37
20151215,51,21,0.4117647058823529,30
20151216,81,47,0.5802469135802469,34
20151217,83,41,0.4939759036144578,42
20151218,64,29,0.453125,35
20151219,21,8,0.38095238095238093,13
20151220,9,4,0.4444444444444444,5
20151221,58,10,0.1724137931034483,48
20151222,40,11,0.275,29
20151223,67,24,0.3582089552238806,43
20151224,63,27,0.42857142857142855,36
20151225,21,9,0.42857142857142855,12
20151226,18,7,0.3888888888888889,11
20151227,11,4,0.36363636363636365,7
20151228,43,19,0.4418604651162791,24
20151229,30,10,0.3333333333333333,20
20151230,54,17,0.3148148148148148,37
20151231,44,22,0.5,22
20160101,29,13,0.4482758620689655,16
20160102,18,4,0.2222222222222222,14
20160103,6,4,0.6666666666666666,2
20160104,38,9,0.23684210526315788,29
20160105,102,45,0.4411764705882353,57
20160106,56,19,0.3392857142857143,37
20160107,54,25,0.46296296296296297,29
20160108,233,108,0.463519313304721,125
20160109,93,64,0.6881720430107527,29
20160110,36,22,0.6111111111111112,14
20160111,200,136,0.68,64
20160112,105,37,0.3523809523809524,68
20160113,57,20,0.3508771929824561,37
20160114,61,31,0.5081967213114754,30
20160115,61,26,0.4262295081967213,35
20160116,32,11,0.34375,21
20160117,11,1,0.09090909090909091,10
20160118,50,17,0.34,33
20160119,77,23,0.2987012987012987,54
20160120,79,24,0.3037974683544304,55
20160121,105,19,0.18095238095238095,86
20160122,584,22,0.03767123287671233,562
20160123,233,8,0.034334763948497854,225
20160124,48,6,0.125,42
20160125,79,24,0.3037974683544304,55
20160126,68,27,0.39705882352941174,41
20160127,28,14,0.5,14
20160128,112,22,0.19642857142857142,90
20160129,97,33,0.3402061855670103,64
