PERMNO,date,COMNAM,PERMCO,PRC,VOL,RET,sprtrn,vwretd
10853,20140909,RENTRAK CORP,8738,51.68,100747,0.028867,-0.006545,-0.006319
10853,20140910,RENTRAK CORP,8738,52.4,83141,0.013932,0.003646,0.003342
10853,20140911,RENTRAK CORP,8738,54.5,108371,0.040076,0.000882,0.001308
10853,20140912,RENTRAK CORP,8738,55.9,142312,0.025688,-0.005963,-0.006591
10853,20140915,RENTRAK CORP,8738,52.53,104376,-0.060286,-0.00071,-0.002889
10853,20140916,RENTRAK CORP,8738,51.87,75831,-0.012564,0.007484,0.007021
10853,20140917,RENTRAK CORP,8738,52.01,80185,0.002699,0.001296,0.000798
10853,20140918,RENTRAK CORP,8738,54.91,220387,0.055759,0.004891,0.004519
10853,20140919,RENTRAK CORP,8738,54.76,147373,-0.002732,-0.000477,-0.002369
10853,20140922,RENTRAK CORP,8738,53.54,84895,-0.022279,-0.008013,-0.010086
10853,20140923,RENTRAK CORP,8738,54.08,171993,0.010086,-0.005776,-0.005998
10853,20140924,RENTRAK CORP,8738,56.8,83249,0.050296,0.007832,0.007102
10853,20140925,RENTRAK CORP,8738,61.84,372762,0.088732,-0.016169,-0.015559
10853,20140926,RENTRAK CORP,8738,60.87,178517,-0.015686,0.008576,0.008414
10853,20140929,RENTRAK CORP,8738,61.06,119448,0.003121,-0.002547,-0.002425
10853,20140930,RENTRAK CORP,8738,60.94,230641,-0.001965,-0.002786,-0.004093
10853,20141001,RENTRAK CORP,8738,59.08,152939,-0.030522,-0.013249,-0.012943
10853,20141002,RENTRAK CORP,8738,60.21,107759,0.019127,0.000005,0.000776
10853,20141003,RENTRAK CORP,8738,65.49,458771,0.087693,0.011166,0.009102
10853,20141006,RENTRAK CORP,8738,66.75,303709,0.01924,-0.001565,-0.001585
10853,20141007,RENTRAK CORP,8738,63.89,270794,-0.042846,-0.015126,-0.015002
10853,20141008,RENTRAK CORP,8738,64.51,221737,0.009704,0.017462,0.015864
10853,20141009,RENTRAK CORP,8738,72.07,674190,0.117191,-0.020661,-0.021234
10853,20141010,RENTRAK CORP,8738,71.84,235469,-0.003191,-0.011451,-0.013344
10853,20141013,RENTRAK CORP,8738,69.79,227524,-0.028536,-0.016468,-0.015516
10853,20141014,RENTRAK CORP,8738,70.21,299910,0.006018,0.001579,0.002321
10853,20141015,RENTRAK CORP,8738,73.9,295312,0.052557,-0.0081,-0.004488
10853,20141016,RENTRAK CORP,8738,72.9,151365,-0.013532,0.000145,0.00384
10853,20141017,RENTRAK CORP,8738,73.97,202626,0.014678,0.012884,0.010822
10853,20141020,RENTRAK CORP,8738,73.12,154188,-0.011491,0.009143,0.009251
