PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
2016-01-29T22:24:47.000Z,"16-081 Rentrak Corporation (""RENT"") Merger COMPLETED with comScore, Inc. (""SCOR""): 16-081 Rentrak Corporation ... http://bit.ly/1KLc79g",,,
2016-01-29T22:24:46.000Z,"16-081 Rentrak Corporation (""RENT"") Merger COMPLETED with comScore, Inc. (""SCOR"") http://bit.ly/1KLc79g via CBOE $$",,,
2016-01-29T22:02:06.000Z,Rentrak and comScore Shareholders Approve Merger http://ift.tt/1UvTxHE,,,
2016-01-29T21:34:51.000Z,Rentrak and comScore Shareholders Approve Merger http://bit.ly/1SprgDD,,,
2016-01-29T21:11:08.000Z,comScore-Rentrak Merger Approved by Shareholders | via Broadcasting & Cable http://buff.ly/1OV1kx9,,,
2016-01-29T20:41:44.000Z,"comScore, Rentrak Merger Approved By Shareholders: In separate meetings, the... http://bit.ly/1TqooXO 
@mp_joemandese",,,
2016-01-29T19:54:41.000Z,comScore and Rentrak Complete Merger | Broadcasting & Cable https://lnkd.in/ewPPc_5,,,
2016-01-29T19:52:04.000Z,comScore-Rentrak Merger Approved by Shareholders | Broadcasting & Cable: http://broadcastingcable.com/news/currency/comscore-rentrak-merger-approved-shareholders/147372#.VqvCvz8ZehM.twitter…,,,
2016-01-29T19:46:41.000Z,comScore and Rentrak Complete Merger | Broadcasting & Cable: http://broadcastingcable.com/news/currency/comscore-and-rentrak-complete-merger/147398#.VqvBg5-1Yas.twitter…,,,
2016-01-29T19:32:29.000Z,"#MarTech| Rentrak and comScore Shareholders Approve Merger - comScore Inc., an Internet analytics firm, and Ren... http://ow.ly/3aIPEx",,,
2016-01-29T19:31:23.000Z,#MarTech | Rentrak and comScore Shareholders Approve Merger http://ow.ly/3aIP1v,,,
2016-01-29T19:31:11.000Z,"comScore, Rentrak Merger Approved By Shareholders http://buff.ly/1SfZc7x #advertising",,,
2016-01-29T19:24:56.000Z,"comScore and Rentrak Complete Merger http://bit.ly/1QLKPGq via 
@bcbeat",,,
2016-01-29T19:16:32.000Z,"#MarTech | Rentrak and comScore Shareholders Approve Merger - comScore Inc., an Internet analytics firm, and Re... http://ow.ly/3aINSB",,,
2016-01-29T19:16:32.000Z,"MarTech | Rentrak and comScore Shareholders Approve Merger - comScore Inc., an Internet analytics firm, and Ren... http://ow.ly/3aINNz",,,
2016-01-29T19:01:42.000Z,"#MarTech Rentrak and comScore Shareholders Approve Merger - comScore Inc., an Internet analytics firm, and Rent... http://ow.ly/3aIM8u",,,
2016-01-29T19:00:55.000Z,via @MarTechAdvisor Rentrak and comScore Shareholders Approve Merger http://ow.ly/3aILHD,,,
2016-01-29T18:42:13.000Z,comScore and Rentrak complete their merger. Combined company starts trading Monday. http://bit.ly/1SOk6Ko,,,1
2016-01-29T18:41:06.000Z,"+ #analytics comScore comScore, Rentrak Merger Approved By Shareholders: http://cmsc.re/XF87C MediaPost",,,
2016-01-29T18:41:05.000Z,+ #analytics comScore RT bcbeat: .comScore and Rentrak Complete Merger: http://bit.ly/1SOk6Ko,,,
2016-01-29T18:40:32.000Z,"comScore, Rentrak Merger Approved By Shareholders: http://cmsc.re/XF87C 
@MediaPost",,10,8
2016-01-29T18:25:07.000Z,"@comScore
 and 
@Rentrak
 Complete Merger http://broadcastingcable.com/news/currency/comscore-and-rentrak-complete-merger/147398#.VquucDwU_xc.twitter…",,,
2016-01-29T18:22:12.000Z,comScore and Rentrak Complete Merger | Broadcasting & Cable https://lnkd.in/bThV5uv,,,
2016-01-29T18:19:39.000Z,comScore and Rentrak Complete Merger | Broadcasting & Cable: http://broadcastingcable.com/news/currency/comscore-and-rentrak-complete-merger/147398#.Vquscv_Uv9g.twitter…,,,
2016-01-29T18:03:13.000Z,".
@comScore
 and 
@Rentrak
 Complete Merger: http://bit.ly/1SOk6Ko",,16,3
2016-01-29T17:42:50.000Z,"FYI 
@QuirksMR
: Daily News Queue: Shareholders approve comScore, Rentrak merger #MRX http://conta.cc/1OUC3n0",,,
2016-01-29T17:30:37.000Z,"Daily News Queue: Shareholders approve comScore, Rentrak merger #MRX http://conta.cc/1OUC3n0",,,
2016-01-29T17:04:51.000Z,  Comscore CEO on Rentrak merger http://us.rd.yahoo.com/finance/news/rss/story/*http://finance.yahoo.com/video/comscore-ceo-rentrak-merger-162600253.html… YAHOO!,,1,
2016-01-29T16:08:39.000Z,"comScore, Rentrak merger approved by shareholders http://bit.ly/1SO6Khl",,,
2016-01-29T16:08:02.000Z,"comScore, Rentrak Merger Approved By Shareholders http://bit.ly/1TqooXO 
@mp_joemandese",,,
2016-01-29T15:45:30.000Z,comScore-Rentrak Merger Approved by Shareholders http://prn.to/1nSDhWU #portlandnews,,,
2016-01-29T15:38:34.000Z,comScore-Rentrak Merger Approved by Shareholders | Broadcasting & Cable: http://broadcastingcable.com/news/currency/comscore-rentrak-merger-approved-shareholders/147372#.VquIOGqlL5k.twitter…,,,
2016-01-29T15:10:31.000Z,"RT 
@tacohen
: “
@gfulgoni
: Big day! 
@comScore
 & 
@Rentrak
 merger okd by shareholders. http://yhoo.it/1Tqoz5m”. -Congrats !!!!!",,,1
2016-01-29T14:12:57.000Z,comScore-Rentrak Merger Approved by Shareholders | Broadcasting & Cable: http://broadcastingcable.com/news/currency/comscore-rentrak-merger-approved-shareholders/147372#.VqtzZvTuV9M.twitter…,,,
2016-01-29T11:31:38.000Z,"comScore, Rentrak Merger Approved By Shareholders http://bit.ly/1TqooXO",,,
2016-01-29T10:53:08.000Z,researchlive: Shareholders approve comScore-Rentrak merger https://research-live.com/article/news/shareholders-approve-comscorerentrak-merger/id/5002152… #mrx #marketresearch,,,
2016-01-29T10:53:02.000Z,researchlive: Shareholders approve comScore-Rentrak merger https://research-live.com/article/news/shareholders-approve-comscorerentrak-merger/id/5002152… #mrx #marketresearch #azimonstudy,,,
