PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
2016-01-29T23:47:28.000Z,"@comscore
 CEO 
@sergematta
 discusses the value combined 
@comscore
 & 
@rentrak
 brings to audience measurement http://cnb.cx/1NGiR8l",,,
2016-01-29T23:30:24.000Z,"@Rentrak
 Buys #Hollywood #Software (
@Variety
) - http://ow.ly/XHjV0 #Media #Measurement #Analytics #TVIndustry",,,
2016-01-29T23:24:00.000Z,"Rentrak Buys Hollywood Software (EXCLUSIVE)... http://twib.in/l/7e9bEM7k6Xn via 
@shivakumar
 | https://twibble.io",,,
2016-01-29T22:48:58.000Z,"Rentrak Buys Hollywood Software (EXCLUSIVE)... http://twib.in/l/dAEpaAgkkkb via 
@shivakumar
 | https://twibble.io",,,
2016-01-29T22:35:44.000Z,"Rentrak Buys Hollywood Software (EXCLUSIVE)... http://twib.in/l/ya4nLk86Mob via 
@shivakumar
 | https://twibble.io",,,
2016-01-29T22:24:47.000Z,"16-081 Rentrak Corporation (""RENT"") Merger COMPLETED with comScore, Inc. (""SCOR""): 16-081 Rentrak Corporation ... http://bit.ly/1KLc79g",,,
2016-01-29T22:24:46.000Z,"16-081 Rentrak Corporation (""RENT"") Merger COMPLETED with comScore, Inc. (""SCOR"") http://bit.ly/1KLc79g via CBOE $$",,,
2016-01-29T22:20:22.000Z,"Rentrak Buys Hollywood Software (EXCLUSIVE)... http://twib.in/l/9b4n5KLXg4g via 
@shivakumar
 | https://twibble.io",,,
2016-01-29T22:02:06.000Z,Rentrak and comScore Shareholders Approve Merger http://ift.tt/1UvTxHE,,,
2016-01-29T21:34:51.000Z,Rentrak and comScore Shareholders Approve Merger http://bit.ly/1SprgDD,,,
2016-01-29T21:11:08.000Z,comScore-Rentrak Merger Approved by Shareholders | via Broadcasting & Cable http://buff.ly/1OV1kx9,,,
2016-01-29T20:41:44.000Z,"comScore, Rentrak Merger Approved By Shareholders: In separate meetings, the... http://bit.ly/1TqooXO 
@mp_joemandese",,,
2016-01-29T19:54:41.000Z,comScore and Rentrak Complete Merger | Broadcasting & Cable https://lnkd.in/ewPPc_5,,,
2016-01-29T19:52:04.000Z,comScore-Rentrak Merger Approved by Shareholders | Broadcasting & Cable: http://broadcastingcable.com/news/currency/comscore-rentrak-merger-approved-shareholders/147372#.VqvCvz8ZehM.twitter…,,,
2016-01-29T19:46:41.000Z,comScore and Rentrak Complete Merger | Broadcasting & Cable: http://broadcastingcable.com/news/currency/comscore-and-rentrak-complete-merger/147398#.VqvBg5-1Yas.twitter…,,,
2016-01-29T19:32:29.000Z,"#MarTech| Rentrak and comScore Shareholders Approve Merger - comScore Inc., an Internet analytics firm, and Ren... http://ow.ly/3aIPEx",,,
2016-01-29T19:31:23.000Z,#MarTech | Rentrak and comScore Shareholders Approve Merger http://ow.ly/3aIP1v,,,
2016-01-29T19:31:11.000Z,"comScore, Rentrak Merger Approved By Shareholders http://buff.ly/1SfZc7x #advertising",,,
2016-01-29T19:24:56.000Z,"comScore and Rentrak Complete Merger http://bit.ly/1QLKPGq via 
@bcbeat",,,
2016-01-29T19:16:32.000Z,"#MarTech | Rentrak and comScore Shareholders Approve Merger - comScore Inc., an Internet analytics firm, and Re... http://ow.ly/3aINSB",,,
2016-01-29T19:16:32.000Z,"MarTech | Rentrak and comScore Shareholders Approve Merger - comScore Inc., an Internet analytics firm, and Ren... http://ow.ly/3aINNz",,,
2016-01-29T19:01:47.000Z,Shareholders Approve comScore Acquisition of Rentrak http://mrweb.com/drno/news22137.htm… #mrx #marketresearch,,,1
2016-01-29T19:01:42.000Z,"#MarTech Rentrak and comScore Shareholders Approve Merger - comScore Inc., an Internet analytics firm, and Rent... http://ow.ly/3aIM8u",,,
2016-01-29T19:00:55.000Z,via @MarTechAdvisor Rentrak and comScore Shareholders Approve Merger http://ow.ly/3aILHD,,,
2016-01-29T18:45:09.000Z,".
@Rentrak
 acquires Hollywood Software (
@hollywoodhsi
) http://filmjournal.com/news/rentrak-acquires-hollywood-software…",,1,
2016-01-29T18:42:13.000Z,comScore and Rentrak complete their merger. Combined company starts trading Monday. http://bit.ly/1SOk6Ko,,,1
2016-01-29T18:41:06.000Z,"+ #analytics comScore comScore, Rentrak Merger Approved By Shareholders: http://cmsc.re/XF87C MediaPost",,,
2016-01-29T18:41:05.000Z,+ #analytics comScore RT bcbeat: .comScore and Rentrak Complete Merger: http://bit.ly/1SOk6Ko,,,
2016-01-29T18:40:32.000Z,"comScore, Rentrak Merger Approved By Shareholders: http://cmsc.re/XF87C 
@MediaPost",,10,8
2016-01-29T18:30:35.000Z,"$RENT New SEC Document(s) for Rentrak Corporation
From our Stock News Alerts App",,,
2016-01-29T18:25:07.000Z,"@comScore
 and 
@Rentrak
 Complete Merger http://broadcastingcable.com/news/currency/comscore-and-rentrak-complete-merger/147398#.VquucDwU_xc.twitter…",,,
2016-01-29T18:22:12.000Z,comScore and Rentrak Complete Merger | Broadcasting & Cable https://lnkd.in/bThV5uv,,,
2016-01-29T18:19:39.000Z,comScore and Rentrak Complete Merger | Broadcasting & Cable: http://broadcastingcable.com/news/currency/comscore-and-rentrak-complete-merger/147398#.Vquscv_Uv9g.twitter…,,,
2016-01-29T18:03:13.000Z,".
@comScore
 and 
@Rentrak
 Complete Merger: http://bit.ly/1SOk6Ko",,16,3
2016-01-29T17:42:50.000Z,"FYI 
@QuirksMR
: Daily News Queue: Shareholders approve comScore, Rentrak merger #MRX http://conta.cc/1OUC3n0",,,
2016-01-29T17:38:59.000Z,"Congrats to 
@comScore
 and 
@Rentrak
 on getting the deal done!  Great deal! Great job on CNBC 
@sergematta
!  #dctechQuote Tweet
Comscore
@Comscore
 · Jan 29, 2016
Getting ready for @cnbc! Check out Serge Matta, on Squawk on the Street.",,,
2016-01-29T17:30:37.000Z,"Daily News Queue: Shareholders approve comScore, Rentrak merger #MRX http://conta.cc/1OUC3n0",,,
2016-01-29T17:10:34.000Z,"Here is the Full Report Via Rentrak
#Airlift WORLDWIDE GROSS : 145.82 Cr (7 Days)
India 119.29 Cr, Overseas 26.53 Cr
#BLOCKBUSTER",1,22,19
2016-01-29T17:04:51.000Z,  Comscore CEO on Rentrak merger http://us.rd.yahoo.com/finance/news/rss/story/*http://finance.yahoo.com/video/comscore-ceo-rentrak-merger-162600253.html… YAHOO!,,1,
2016-01-29T16:08:39.000Z,"comScore, Rentrak merger approved by shareholders http://bit.ly/1SO6Khl",,,
2016-01-29T16:08:02.000Z,"comScore, Rentrak Merger Approved By Shareholders http://bit.ly/1TqooXO 
@mp_joemandese",,,
2016-01-29T16:00:44.000Z,B&C: Shareholders approve comScore-Rentrak deal. http://tinyurl.com/hk5emrc #ratings,,,
2016-01-29T15:45:30.000Z,comScore-Rentrak Merger Approved by Shareholders http://prn.to/1nSDhWU #portlandnews,,,
2016-01-29T15:38:34.000Z,comScore-Rentrak Merger Approved by Shareholders | Broadcasting & Cable: http://broadcastingcable.com/news/currency/comscore-rentrak-merger-approved-shareholders/147372#.VquIOGqlL5k.twitter…,,,
2016-01-29T15:27:25.000Z,"comScore, Rentrak Merger Approved By Shareholders: In separate meetings, the... http://bit.ly/1TqooXO 
@mp_joemandese",,,
2016-01-29T15:23:59.000Z,+ #analytics comScore RT tacohen: “gfulgoni: Big day! comScore & Rentrak merger okd by shareholders. http://yhoo.it/1Tqoz5m”. -Congrats…,,,
2016-01-29T15:15:20.000Z,comScore-Rentrak Merger Approved by Shareholders | Broadcasting & Cable http://broadcastingcable.com/news/currency/comscore-rentrak-merger-approved-shareholders/147372…,,,
2016-01-29T15:10:31.000Z,"RT 
@tacohen
: “
@gfulgoni
: Big day! 
@comScore
 & 
@Rentrak
 merger okd by shareholders. http://yhoo.it/1Tqoz5m”. -Congrats !!!!!",,,1
2016-01-29T14:12:57.000Z,comScore-Rentrak Merger Approved by Shareholders | Broadcasting & Cable: http://broadcastingcable.com/news/currency/comscore-rentrak-merger-approved-shareholders/147372#.VqtzZvTuV9M.twitter…,,,
2016-01-29T13:27:55.000Z,"Replying to 
@KC8055@KC8055
 16 days figure ye kada  
@RaviAKP
 @Rentrak
 @CineGalaxyUSA",,,
2016-01-29T13:17:12.000Z,"USA Rentrak

#NannakuPrematho 16 days : $1,955,902 ($4,520 Thurs)

#SoggadeChinniNayana 14 days: $804,080 ($3,234 Thurs)",5,9,8
2016-01-29T11:31:38.000Z,"comScore, Rentrak Merger Approved By Shareholders http://bit.ly/1TqooXO",,,
2016-01-29T10:58:05.000Z,Rentrak shareholders approve sale to comScore http://dlvr.it/KLlxnC #pdx,,2,
2016-01-29T10:53:08.000Z,researchlive: Shareholders approve comScore-Rentrak merger https://research-live.com/article/news/shareholders-approve-comscorerentrak-merger/id/5002152… #mrx #marketresearch,,,
2016-01-29T10:53:02.000Z,researchlive: Shareholders approve comScore-Rentrak merger https://research-live.com/article/news/shareholders-approve-comscorerentrak-merger/id/5002152… #mrx #marketresearch #azimonstudy,,,
2016-01-29T10:50:09.000Z,Shareholders approve comScore-Rentrak merger https://research-live.com/article/news/shareholders-approve-comscorerentrak-merger/id/5002152… #mrx #marketresearch,,,
2016-01-29T10:02:31.000Z,Rentrak (RENT) Acquires Hollywood Software http://madcornishprojectionist.co.uk/?p=24094,,,
2016-01-29T06:50:27.000Z,United States | comScore-Rentrak merger approved by shareholders - Read more at: http://tvbizz.net,,,
2016-01-29T06:02:52.000Z,ComScore-Rentrak merger approved by shareholders - $SCOR and $RENT to watch today #mergers #MnA,,,
2016-01-29T03:19:22.000Z,Rentrak shareholders approve sale to comScore: Shareholders for media measuring companies Rentrak and Comscore... http://bit.ly/209WvZp,,,
2016-01-29T02:14:12.000Z,Rentrak shareholders approve sale to comScore: Shareholders for media measuring companies Rentrak and Comscore... http://bit.ly/1PWP7pw,,,
2016-01-29T02:12:35.000Z,"Rentrak, ComScore Shareholders Approve Deal http://bit.ly/1JJYbkY via 
@multinews",,,
2016-01-29T01:14:10.000Z,Rentrak shareholders approve sale to comScore http://dlvr.it/KLZ5Ld #Portland,,,
2016-01-29T01:14:09.000Z,Rentrak shareholders approve sale to comScore: Shareholders for media measuring companies Rentrak and Comscore have… http://dlvr.it/KLZ5Hw,,,
2016-01-29T01:05:11.000Z,"congrats 
@comScore
 & 
@Rentrak
 on the shareholder merger approval  http://bit.ly/1Pm1sHF",,,
2016-01-29T00:37:59.000Z,"Rentrak, ComScore Shareholders Approve Deal | Multichannel: http://multichannel.com/news/ratings/rentrak-comscore-shareholders-approve-deal/396932#.Vqq0Sn01SFs.twitter…",,2,1
2016-01-29T00:07:01.000Z,"Rentrak, ComScore Shareholders Approve Deal:  http://bit.ly/1QIAWck",,,
2016-01-28T23:57:05.000Z,Rentrak shareholders approve sale to comScore http://bit.ly/1ZXkd5O #Portland #news,,,
2016-01-28T23:48:41.000Z,comScore-Rentrak Merger Approved by Shareholders | Broadcasting & Cable: http://broadcastingcable.com/news/currency/comscore-rentrak-merger-approved-shareholders/147372#.VqqoxAw3b8o.twitter…,,1,1
2016-01-28T23:46:15.000Z,Portland Business - Rentrak shareholders approve sale to comScore http://ow.ly/3aGKm7,,,
2016-01-28T23:44:56.000Z,#FittsList Rentrak shareholders approve sale to comScore http://ift.tt/1ZXio8Q Follow KevinFitts,,,
2016-01-28T23:41:07.000Z,Rentrak shareholders approve sale to comScore: Shareholders for media measuring companies Rentrak and Comscore have… http://m.tbnn.it/KLXfx2,,,
2016-01-28T23:41:06.000Z,Rentrak shareholders approve sale to comScore: Shareholders for media measuring companies Rentrak and Comscore have… http://m.tbnn.it/KLXfvq,,,
2016-01-28T23:41:06.000Z,Rentrak shareholders approve sale to comScore http://bit.ly/1PJbMeP #Portland #Oregon,,,
2016-01-28T23:28:17.000Z,"$RENT: Rentrak and ComScore (SCOR) shareholders approve merger, deal expected to close tomorrow http://bit.ly/1QI0R3X",,,
2016-01-28T23:18:13.000Z,"comScore, Rentrak Merger Approved By Shareholders - In separate meetings, the shareholders of comScore and Rent... http://ow.ly/3aGI95",,,
2016-01-28T23:07:18.000Z,"Replying to 
@gfulgoni“
@gfulgoni
: Big day! 
@comScore
 & 
@Rentrak
 merger okd by shareholders. http://yhoo.it/1Tqoz5m”. -Congrats !!!!!",,,
2016-01-28T23:00:46.000Z,comScore-Rentrak Merger Approved by Shareholders http://financialbuzz.com/comscore-rentrak-merger-approved-by-shareholders-395381…,,,
2016-01-28T22:50:38.000Z,RT GeoMktFan: RT geomarketing: RT gfulgoni: Big day! comScore & Rentrak merger okd by shareholders. Seems yesterda… http://yhoo.it/1Tqoz5m,,,
2016-01-28T22:36:11.000Z,RT geomarketing: RT gfulgoni: Big day! comScore & Rentrak merger okd by shareholders. Seems yesterday m_abraham & … http://yhoo.it/1Tqoz5m,,,
2016-01-28T22:32:04.000Z,"comScore, Rentrak Merger Approved By Shareholders: In separate meetings, the shareholders of... http://bit.ly/1TqooXO",,,
2016-01-28T22:32:03.000Z,"comScore, Rentrak Merger Approved By Shareholders: In separate meetings, the... http://bit.ly/1TqooXO 
@mp_joemandese",,5,2
2016-01-28T22:29:14.000Z,"Big day! 
@comScore
 & 
@Rentrak
 merger okd by shareholders. Seems yesterday 
@m_abraham
 & I started comScore 15 yrs ago http://yhoo.it/1Tqoz5m",1,7,7
2016-01-28T22:21:49.000Z,"comScore-Rentrak Merger Approved by Shareholders http://bit.ly/1PWm19O via 
@bcbeat",,,
2016-01-28T22:12:10.000Z,"RT 
@TVNewsCheck
: ComScore & Rentrak shareholders OK'd the companies' merger. Deal is expected to close tomorrow. http://shrd.by/EGZBNQ",,,
2016-01-28T22:11:34.000Z,ComScore & Rentrak shareholders OK'd the companies' merger. Deal is expected to close tomorrow. http://bit.ly/1ZX5pEd,,2,1
2016-01-28T22:09:49.000Z,comScore-Rentrak Merger Approved by Shareholders | Broadcasting & Cable: http://broadcastingcable.com/news/currency/comscore-rentrak-merger-approved-shareholders/147372#.VqqRzK0DMI0.twitter…,,,
2016-01-28T22:08:57.000Z,comScore-Rentrak Merger Approved by Shareholders http://prn.to/1P0FpTk,,,
